Date,Id,Genotype,Birthdate,Sex,Tx,Tx_Start,Slice_Loc_Run,Trial_x_Time,Stim_Intensity,Stim_Layer,RLI,Cx,n_Pulses,Pulse_index,IPI,ROI_Id,Visual,Layers,Amp,PeakTime,SNR,Latency,Halfwidth,Rise,Decay,Euc_dist,nPixel
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,1,1.0,5,0.001009,52.5,5.70352,50.9691,4.23078,1.53087,2.6999,49.20619879649311,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,2,1.0,4,0.00101193,52.0,5.31445,50.56,4.67809,1.44002,3.23807,37.030392922571046,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,3,1.0,5,0.00101629,50.5,5.70803,49.4902,3.37511,1.00978,2.36534,45.11377253604112,3.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,4,1.0,5,0.00103173,58.5,5.00993,55.4807,4.80857,3.0193,1.78926,52.03124061561477,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,5,1.0,5,0.00104052,57.5,6.35266,53.3005,5.95884,4.19952,1.75932,47.02393007820593,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,6,1.0,5,0.00104866,53.0,5.4407,45.9391,8.98427,7.06092,1.92334,54.15025392368904,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,7,1.0,4,0.00105142,56.0,5.40602,50.6297,7.03108,5.37026,1.66082,36.89512162874653,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,10,1.0,4,0.00109588,53.0,6.16559,51.3085,3.82189,1.69146,2.13044,33.47013594235912,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,11,1.0,5,0.00110234,57.0,6.34924,52.5037,6.38454,4.49627,1.88827,47.07706447942565,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,12,1.0,5,0.00111333,54.5,8.25928,52.0694,5.33725,2.43064,2.90661,44.701789673345296,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,14,1.0,4,0.00112492,55.0,5.52492,51.3986,5.16332,3.60137,1.56195,29.34706118165838,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,16,1.0,4,0.00113823,53.5,6.54036,52.105,3.69793,1.39499,2.30295,16.85294113259155,3.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,17,1.0,4,0.00115884,62.5,5.24854,50.7534,12.765,11.7466,1.01847,38.81043674065006,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,18,1.0,4,0.00117876,55.0,6.52054,53.6321,3.5197,1.36787,2.15183,45.63713980506717,2.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,19,1.0,4,0.00118154,51.0,5.12493,50.1871,3.88095,0.812921,3.06803,25.22399651125888,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,20,1.0,4,0.00121171,57.5,5.37319,52.4337,6.66811,5.06634,1.60177,44.5,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,21,1.0,4,0.00121204,58.0,5.33618,51.2976,8.68916,6.70243,1.98673,42.5,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,22,1.0,5,0.00121694,57.5,5.99015,45.2942,14.5214,12.2058,2.31562,55.53602434456396,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,23,1.0,5,0.00122183,58.0,5.21243,53.1691,6.45901,4.83087,1.62814,59.00211860602973,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,24,1.0,4,0.00125367,55.5,5.28216,51.4546,6.12163,4.04541,2.07621,38.82331773560833,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,25,1.0,5,0.00126742,58.5,5.26656,52.3231,9.65063,6.17685,3.47378,61.00204914590984,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,26,1.0,4,0.00136738,55.5,5.97816,50.0725,7.68134,5.42754,2.2538,45.77390086064329,1.0
01-24-2022,6076,FXR1,11-16-2021,M,FXR1_Control,,04_01_02,5_15,200,2_3,1.2,BC,1,Stim1,,27,1.0,4,0.00137256,55.0,5.96433,51.4533,7.4638,3.5467,3.9171,38.12151623427379,1.0
